title,author,cover_url,series,series_number,year,subgenre,age_category,standalone,spice_level,door,spice_frequency,heat_type,tropes,mood,content_warnings,representation,energy,pacing,pov,mc_archetype,li_archetype,relationship_type,who_falls_first,ending,cliffhanger,setting,world_type,comp_titles,rating_avg,featured,status,blurb
Radiant Sin,Katee Robert,,Dark Olympus,4,2023,dark-romance,Adult,false,5,open,frequent,,fake-relationship; forbidden-love; forced-proximity; touch-her-and-die,dark,,,,,1st dual,,,MF,,HEA,false,,urban-fantasy,,,,live,"When Cassandra is trapped at a lavish Olympian party, the only escape is playing girlfriend to the golden, terrifyingly perfect Apollo — a role that turns very real, very fast. A scorching, glossy Olympus retelling of Cassandra and Apollo."
Cruel Seduction,Katee Robert,,Dark Olympus,5,2023,dark-romance,Adult,false,5,open,frequent,,enemies-to-lovers; why-choose; marriage-in-trouble; forbidden-love,dark,,,,,multi,,,poly,,HEA,false,,urban-fantasy,,,,live,"When Aphrodite arranges a marriage between her Adonis and his ex Psyche's sister Eurydice, everyone involved is playing a very dangerous game — until Hephaestus enters the room. A poly-adjacent, scorching Olympus retelling."
Midnight Ruin,Katee Robert,,Dark Olympus,6,2024,dark-romance,Adult,false,5,open,frequent,,why-choose; second-chance; forbidden-love; grim-reaper,dark,,,,,multi,,,poly,,HEA,false,,urban-fantasy,,,,live,"Eurydice is done being everyone's pawn — even when it means striking a bargain with Charon, the ferryman of the dead, and confronting the two men she thought she'd left behind. Katee Robert's most poly-forward Olympus book yet."
Shadow and Bone,Leigh Bardugo,,Shadow and Bone,1,2012,romantasy,YA,false,1,closed,none,,chosen-one; hidden-identity; forbidden-love; slow-burn,angsty,,,,,1st single,,,MF,,HFN,false,,high-fantasy,,,,live,"In a nation split by a monstrous wall of darkness, orphan Alina Starkov discovers she wields a rare, world-changing light — and is whisked into the seductive Grisha court of the enigmatic Darkling. The book that launched the Grishaverse."
Siege and Storm,Leigh Bardugo,,Shadow and Bone,2,2013,romantasy,YA,false,1,closed,none,,chosen-one; forbidden-love; found-family; love-triangle,angsty,,,,,1st single,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"On the run with Mal, Alina meets the charismatic privateer prince Nikolai Lantsov — and the Darkling's power stretches even into hiding. The middle Grishaverse book: bigger world, sharper politics, more heart."
Ruin and Rising,Leigh Bardugo,,Shadow and Bone,3,2014,romantasy,YA,false,1,closed,none,,chosen-one; forbidden-love; sacrifice; found-family,emotional,,,,,1st single,,,MF,,HFN,false,,high-fantasy,,,,live,"With Ravka on the brink and the Darkling closing in, Alina must find the final amplifier — and decide what kind of Saint, and person, she really is. The Shadow and Bone trilogy's soaring, sacrificial finale."
Crooked Kingdom,Leigh Bardugo,,Six of Crows,2,2016,romantasy,YA,false,1,closed,none,,enemies-to-lovers; heist; found-family; slow-burn,adventurous,,,,,multi,,,MF,,HEA,false,,high-fantasy,,,,live,"Betrayed and cornered, Kaz and his crew of Dregs plan the con of their lives to save one of their own — while every gang, royal, and Grisha in Ketterdam hunts them. The masterful conclusion to the Six of Crows duology."
King of Scars,Leigh Bardugo,,Nikolai Duology,1,2019,romantasy,YA,false,1,closed,none,,royal-romance; slow-burn; found-family; chosen-one,angsty,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Nikolai Lantsov is a king with a monster inside him — and a country on the brink of another war. As Zoya, Nina, and old ghosts collide across Ravka, the Grishaverse tilts toward something ancient and terrible. Nikolai's first solo outing."
Rule of Wolves,Leigh Bardugo,,Nikolai Duology,2,2021,romantasy,YA,false,1,closed,none,,enemies-to-lovers; royal-romance; war; found-family,angsty,,,,,multi,,,MF,,HEA,false,,high-fantasy,,,,live,"Kingdoms move against Ravka, saints wake in the dark, and Nikolai must decide whether the demon inside him is a curse or a weapon. Bardugo weaves every Grishaverse thread — Alina's world, Ketterdam's crows, the ice court — into one blockbuster finale."
Glass Sword,Victoria Aveyard,,Red Queen,2,2016,romantasy,YA,false,1,closed,none,,hidden-identity; betrayal; found-family; slow-burn,angsty,,,,,1st single,,,MF,,cliffhanger,true,,high-fantasy,,,,live,Mare Barrow — the lightning girl who bled red and struck silver — leads the ragtag Scarlet Guard to find others like her before the Silver crown finds them first. Aveyard's world darkens and the body count climbs.
